Name,Aliases,Nationality,Ethnicity
Seth Gamble,"Seth Bamble, Troy Gabriel, Demitri Long, Dimitri Long, Porcupine",American,Caucasian
Parker Ambrose,Jordan Jaxx,American,Latin
Isiah Maxwell,Unknown,"Nigerian, Cameroonian, Congolese, American",Black
Kyle Mason,Lucas Knight,American,Caucasian
Jax Slayher,"Jonte Armand, Jax Slayer, Jaxxx Slayher, Johnny Love, Jax Black, Jak Black, Jean Slayer",American,Black
Will Pounder,"Sergeant O'Hara, Sergeant Ohara",American,Caucasian
Vince Karter,"Vince Carter, Vince, Vincent",French,Caucasian
Chocolate God,Chocolate Rod,Unknown,Black
Jodie Johnson,Unknown,Unknown,Caucasian
Joshua Lewis,Josh Lewis,Unknown,Caucasian
Charlie Dean,"Marek Prohodil, Michail, Charles Deen, Andreas Ratto, Matty Wildy, Jace Reed, Charles Dean",Czech,Caucasian
Charles Dera,"Karl Toughlove, Karl",American,Caucasian
Nelson Mandingo,Unknown,British,Black
Max Fills,Unknown,Unknown,Latin
Brock Cooper,"Mr Cooper XXX, Nico Correlli",American,Caucasian
Axel Haze,"Shrooms D, Trey Haze",American,Caucasian
Ryan Driller,Jeremy Bilding,Unknown,Caucasian
Nathan Bronson,"Nate Bronson, Nathan Explosion",American,Caucasian
Hollywood Cash,Unknown,American,Black
Ethan Seeks,Ethan Sacks,Unknown,Caucasian
Zac Wild,"Zak Wild, Warren, Zachary Wild, Zac Wilde, Zach Wild, Wesley Crush",American,Caucasian
Juan El Caballo Loco,Juan Loco,American,Latin
Richard Mann,Richard,American,Black
Quinton James,Quintin James,British,Caucasian
Rion King,Unknown,American,Caucasian
Jay Romero,Unknown,Algerian,Caucasian
Ryan Madison,Unknown,American,Caucasian
Mike Mancini,Unknown,American,Caucasian
Jimmy Michaels,"Little Jimmy Michaels, Little Jimmy, Jimothy Michaels",American,Caucasian
Tyler Nixon,"Tyler, Tate",American,Caucasian
Slim Poke,Darwin Slimpoke,American,Black
Donnie Rock,Donnie Rocks,American,Caucasian
Ricky Spanish,Louie,American,Caucasian
Damion Dayski,"Damien Dayski, DayDay",American,Black
Nade Nasty,Nade,American,Caucasian
Austin Pierce,Unknown,American,Caucasian
Kai Jaxon,Unknown,American,Caucasian
Gi Joey,"Joe Justice, Joey Justice, G.I. Joey, Dick Joye, Joey Nux",American,Caucasian
Mick Blue,Unknown,Austrian,Caucasian
Jay Hefner,Jay,Unknown,Black
Scotty P,"Scotty Pimpin, MrThroatMonster, Scotty A",American,Black
Jayden Marcos,Monster Can,Unknown,Caucasian
Jmac,"J Mac, Angel, J-Mac",American,Caucasian
Owen Gray,"Owen Grey, Dr. Gray",American,Caucasian
Logan Drake,Unknown,American,Caucasian
Lucas Frost,Unknown,American,Caucasian
Jason Luv,Unknown,American,Black
Lexington Steele,Unknown,Unknown,Black
Sage Roux,Unknown,Unknown,Caucasian
Ken Feels,Unknown,American,Caucasian
Parker Sims,"Parker Simpson, Parker Simp",American,Caucasian
Danny D,Unknown,British,Caucasian
Will Tile,Unknown,American,Black
Danny Steele,"Danny Steel, Dan Steele",Unknown,Caucasian
Ramon Nomar,"Ramon Guevarra, Ramon Perez, Ramon Sutra, Ramon Enrique, Ramon Fernandez, Ramon Guebara, Ramon Lee, Ramon Novar, Ramon Gonzales, Ramon Kiss","Venezuelan, Spanish",Latin
Sheem The Dream,Unknown,American,Black
Damon Dice,"Damon, Jason Reign",American,Caucasian
Duncan Saint,Geronimo,American,Latin
Don Prince,"Don XXX Prince, Donald, Din Prince",American,Black
Dan Damage,Unknown,American,Caucasian
Tyler Cruise,Unknown,American,Caucasian
Mannie Coco,Unknown,American,Black
Musa Phoenix,Unknown,American,Black
Jay Rock,"Jay, Jason",American,Caucasian
Matthew Meier,Mathew Mayers,Ukrainian,Caucasian
Mike Skywalker,Unknown,Unknown,Latin
Brad Newman,Unknown,Unknown,Unknown
Jovan Jordan,Unknown,Unknown,Unknown
Solo The Bull,Unknown,Unknown,Black
Sam Shock,"Sam Perfect Body, Sam Strong",American,Caucasian
Van Wylde,Unknown,American,Caucasian
Manuel Ferrara,Unknown,French,Caucasian
Nikki Nuttz,"Nikky Nuttz, Josiah Reno (BelAmi), Josiah Reno, Nickki Nutz",Hungarian,Caucasian
Troy Francisco,Troy Frisco,Unknown,Black
Don Sudan,Unknown,American,Black
Dorian Del Isla,"Dorian De La Isla, Pascal, Dorial Del Isla",French,Caucasian
Mark Wood,Unknown,Unknown,Unknown
Luke Longly,Luke Longley,American,Unknown
Dante Colle,"Brother Calhoun, Ryder, Sam Jameson",American,Caucasian
Erik Everhard,"Eric Ray, Eric Everhart, Eril Everhard, Eric Steck, Eric Everhard",Canadian,Caucasian
David Lee,David Chan,"South Korean, American",Asian
Pavlos Hard,"Roy Gary, Jonas Miller, Hugo Antonin, Kane Mra'z, Raul Dolce, Adam Sin, Pavel Gaborik, Roy Garrett, Pavlos Hicklos, Florian Mraz, Florian Richter",Czech,Caucasian
Danny Mountain,Unknown,Unknown,Unknown
James Angel,Unknown,American,Black
Ricky Johnson,Quentin,American,Black
Donny Sins,Donnie Sins,American,Black
Mike Ox,"Magic Mike, Mike Oxsmall",Dominican,Latin
Small Hands,Unknown,Unknown,Latin
Diego Perez,Unknown,Mexican,Latin
Robby Apples,"Robby Echo, Mr. Kitty",Unknown,Caucasian
Freddy Gong,Unknown,Ghanaian,Black
Sam Bourne,"Sam Borne, Adam C",Unknown,Caucasian
Alex Jett,"Matt Bailey, Matthew Bailey, John Swift",American,Caucasian
Brickzilla,"BK Brick, Brick Trismigistus",American,Black
