Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Cup,Bra,Bust,Waist,Hip,Weight,Height
Kimmy Kimm,Kimmy Kim,American,Asian,"August 10, 1998",2020,A,34A,86,55 cm,86 cm,43 kg,147 cm
Freya Parker,Unknown,American,Caucasian,"December 19, 2000",2020,C,34C,86,60 cm,86 cm,56 kg,177 cm
Scarlett Alexis,Aphrodite Pandemos,American,Asian,"April 30, 1999",2022,D,32D,81,66 cm,91 cm,51 kg,165 cm
Myra Moans,Myra Glasford,American,Caucasian,"April 24, 2002",2020,B,32B,81,60 cm,86 cm,43 kg,157 cm
Hailey Rose,Unknown,Colombian,Mixed,"March 1, 1999",2021,G,38G,96,68 cm,86 cm,54 kg,157 cm
Cory Chase,"Corey Chase, Cory Chade",Unknown,Caucasian,"February 25, 1981",2009,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,162 cm
Octavia Red,Sativa Red,American,Caucasian,"November 4, 1996",2020,E,32E,81,68 cm,91 cm,56 kg,162 cm
Daisy Pheonix,Daisy Phoenix,American,Caucasian,"July 16, 2006",2024,B,34B,86,66 cm,91 cm,54 kg,160 cm
Angel Youngs,Unknown,American,Caucasian,"January 15, 2002",2020,F,34F,86,63 cm,88 cm,56 kg,167 cm
Hazel Moore,Ellie ECG,American,Caucasian,"June 9, 2000",2019,C,34C,86,68 cm,86 cm,54 kg,170 cm
Molly Little,Unknown,American,Caucasian,"February 10, 2003",2022,A,32A,81,55 cm,81 cm,41 kg,157 cm
Sky Wonderland,Ally Summers,American,Caucasian,"March 26, 2002",2019,C,34C,86,60 cm,86 cm,53 kg,160 cm
Chanel Camryn,Unknown,American,Caucasian,"September 17, 2001",2022,B,34B,86,66 cm,91 cm,49 kg,154 cm
Blake Blossom,Unknown,American,Caucasian,"February 14, 2000",2020,DD,30DD,76,55 cm,76 cm,56 kg,170 cm
Angel Gostosa,Unknown,Brazilian,Latin,"February 14, 2003",2021,B,30B,76,63 cm,91 cm,48 kg,160 cm
Sophia Locke,Unknown,American,Caucasian,"April 7, 1985",2010,D,34D,86,66 cm,93 cm,59 kg,162 cm
Sara Jay,"S. Jaye, Sara Jay Taylor, Sarah Jay",American,Caucasian,"November 14, 1977",2001,E,36E,91,63 cm,104 cm,65 kg,162 cm
Rissa May,Clarissa May,American,Caucasian,"January 14, 2005",2023,DD,34DD,86,60 cm,91 cm,57 kg,160 cm
Veronica Leal,Veronica Orozco,Colombian,Latin,"December 17, 1993",2017,B,32B,81,60 cm,76 cm,44 kg,162 cm
Ellie Nova,Unknown,"Canadian, American",Caucasian,"February 1, 2003",2023,D,34D,86,58 cm,91 cm,56 kg,175 cm
Natasha Nice,"Natasha Nyce, Nat Nice","French, American",Caucasian,"July 28, 1988",2006,G,38G,96,68 cm,93 cm,77 kg,157 cm
Sarah Arabic,Unknown,Iraqi,Caucasian,"September 11, 1992",2019,H,36H,91,86 cm,101 cm,61 kg,167 cm
Demi Hawks,Unknown,American,Caucasian,"August 10, 1999",2022,B,30B,76,55 cm,86 cm,40 kg,149 cm
Emma Rosie,Unknown,American,Caucasian,"January 19, 2004",2022,A,30A,76,55 cm,76 cm,39 kg,147 cm
Abella Danger,Bella Danger,Unknown,Caucasian,"November 19, 1995",2014,Unknown,Unknown,Unknown,Unknown,Unknown,59 kg,160 cm
Payton Preslee,"Ivy Rose, Natasha Nails",Polish,Caucasian,"February 24, 1994",2019,DDD,36DDD,91,63 cm,93 cm,59 kg,157 cm
