Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Weight,Height
Seth Gamble,"Seth Bamble, Troy Gabriel, Demitri Long, Dimitri Long, Porcupine",American,Caucasian,"February 10, 1985",2008,73 kg,180 cm
Parker Ambrose,Jordan Jaxx,American,Latin,"July 4, 1997",Unknown,66 kg,180 cm
Isiah Maxwell,Unknown,"Nigerian, Cameroonian, Congolese, American",Black,"March 28, 1989",2012,Unknown,182 cm
Kyle Mason,Lucas Knight,American,Caucasian,"February 27, 1987",2012,82 kg,185 cm
Jax Slayher,"Jonte Armand, Jax Slayer, Jaxxx Slayher, Johnny Love, Jax Black, Jak Black, Jean Slayer",American,Black,"December 26, 1988",Unknown,107 kg,193 cm
Will Pounder,"Sergeant O'Hara, Sergeant Ohara",American,Caucasian,"August 23, 1986",2017,99 kg,182 cm
Vince Karter,"Vince Carter, Vince, Vincent",French,Caucasian,"December 8, 1983",2011,79 kg,182 cm
Chocolate God,Chocolate Rod,Unknown,Black,Unknown,2023,86 kg,190 cm
Jodie Johnson,Unknown,Unknown,Caucasian,"January 21, 2002",2023,Unknown,180 cm
Joshua Lewis,Josh Lewis,Unknown,Caucasian,"October 27, 2001",Unknown,69 kg,175 cm
Charlie Dean,"Marek Prohodil, Michail, Charles Deen, Andreas Ratto, Matty Wildy, Jace Reed, Charles Dean",Czech,Caucasian,"December 6, 1993",Unknown,64 kg,177 cm
Charles Dera,"Karl Toughlove, Karl",American,Caucasian,"December 21, 1978",2005,92 kg,182 cm
Nelson Mandingo,Unknown,British,Black,"June 27, 1993",2023,Unknown,190 cm
Max Fills,Unknown,Unknown,Latin,"June 11, 1997",2022,68 kg,170 cm
Brock Cooper,"Mr Cooper XXX, Nico Correlli",American,Caucasian,"February 14, 1988",Unknown,74 kg,177 cm
Axel Haze,"Shrooms D, Trey Haze",American,Caucasian,"March 11, 2004",Unknown,74 kg,170 cm
Ryan Driller,Jeremy Bilding,Unknown,Caucasian,"August 17, 1982",Unknown,Unknown,Unknown
Nathan Bronson,"Nate Bronson, Nathan Explosion",American,Caucasian,"November 19, 1988",Unknown,77 kg,175 cm
Hollywood Cash,Unknown,American,Black,"April 6, 1991",2022,68 kg,193 cm
Ethan Seeks,Ethan Sacks,Unknown,Caucasian,"March 26, 2000",Unknown,Unknown,Unknown
Zac Wild,"Zak Wild, Warren, Zachary Wild, Zac Wilde, Zach Wild, Wesley Crush",American,Caucasian,"September 19, 1989",Unknown,82 kg,177 cm
Juan El Caballo Loco,Juan Loco,American,Latin,"June 24, 1998",2017,Unknown,165 cm
Richard Mann,Richard,American,Black,"March 5, 1966",2004,77 kg,177 cm
Quinton James,Quintin James,British,Caucasian,"June 9, 1987",Unknown,79 kg,187 cm
Rion King,Unknown,American,Caucasian,"July 4, 1991",2015,86 kg,182 cm
Jay Romero,Unknown,Algerian,Caucasian,"January 23, 1995",2019,68 kg,170 cm
Ryan Madison,Unknown,American,Caucasian,"December 16, 1976",2003,74 kg,175 cm
Mike Mancini,Unknown,American,Caucasian,"July 1, 1986",2015,79 kg,177 cm
Jimmy Michaels,"Little Jimmy Michaels, Little Jimmy, Jimothy Michaels",American,Caucasian,"January 28, 1999",2020,58 kg,175 cm
Tyler Nixon,"Tyler, Tate",American,Caucasian,"July 8, 1987",2010,69 kg,170 cm
Slim Poke,Darwin Slimpoke,American,Black,"April 22, 1985",2004,68 kg,180 cm
Donnie Rock,Donnie Rocks,American,Caucasian,"September 10, 1980",Unknown,72 kg,167 cm
Ricky Spanish,Louie,American,Caucasian,"August 24, 1994",2017,58 kg,162 cm
Damion Dayski,"Damien Dayski, DayDay",American,Black,"January 29, 2003",Unknown,63 kg,177 cm
Nade Nasty,Nade,American,Caucasian,"April 6, 1997",2018,83 kg,182 cm
Austin Pierce,Unknown,American,Caucasian,January 1,Unknown,Unknown,182 cm
Kai Jaxon,Unknown,American,Caucasian,"April 4, 1995",2023,79 kg,Unknown
Gi Joey,"Joe Justice, Joey Justice, G.I. Joey, Dick Joye, Joey Nux",American,Caucasian,"August 28, 1978",Unknown,99 kg,185 cm
Mick Blue,Unknown,Austrian,Caucasian,"September 9, 1976",2000,82 kg,177 cm
Jay Hefner,Jay,Unknown,Black,"June 21, 2000",2022,87 kg,190 cm
Scotty P,"Scotty Pimpin, MrThroatMonster, Scotty A",American,Black,"February 19, 1983",2019,76 kg,185 cm
Jayden Marcos,Monster Can,Unknown,Caucasian,"November 19, 1998",2019,79 kg,185 cm
Jmac,"J Mac, Angel, J-Mac",American,Caucasian,"March 12, 1985",2005,81 kg,185 cm
Owen Gray,"Owen Grey, Dr. Gray",American,Caucasian,"May 3, 1985",2011,68 kg,182 cm
Logan Drake,Unknown,American,Caucasian,"December 21, 1969",Unknown,Unknown,Unknown
Lucas Frost,Unknown,American,Caucasian,"February 2, 1991",2016,74 kg,182 cm
Jason Luv,Unknown,American,Black,"February 1, 1985",2017,107 kg,195 cm
Lexington Steele,Unknown,Unknown,Black,"November 28, 1969",Unknown,97 kg,187 cm
Sage Roux,Unknown,Unknown,Caucasian,"October 5, 1991",Unknown,70 kg,Unknown
Ken Feels,Unknown,American,Caucasian,Unknown,2023,77 kg,180 cm
Parker Sims,"Parker Simpson, Parker Simp",American,Caucasian,"April 29, 2003",Unknown,63 kg,170 cm
Danny D,Unknown,British,Caucasian,"August 11, 1987",2006,68 kg,185 cm
Will Tile,Unknown,American,Black,"July 18, 1987",Unknown,88 kg,175 cm
Danny Steele,"Danny Steel, Dan Steele",Unknown,Caucasian,"March 18, 1986",Unknown,91 kg,177 cm
Ramon Nomar,"Ramon Guevarra, Ramon Perez, Ramon Sutra, Ramon Enrique, Ramon Fernandez, Ramon Guebara, Ramon Lee, Ramon Novar, Ramon Gonzales, Ramon Kiss","Venezuelan, Spanish",Latin,"January 9, 1974",Unknown,91 kg,185 cm
Sheem The Dream,Unknown,American,Black,"April 23, 1982",2023,92 kg,185 cm
Damon Dice,"Damon, Jason Reign",American,Caucasian,"February 8, 1988",2014,77 kg,182 cm
Duncan Saint,Geronimo,American,Latin,"September 16, 1985",Unknown,91 kg,182 cm
Don Prince,"Don XXX Prince, Donald, Din Prince",American,Black,"April 15, 1980",2013,82 kg,175 cm
Dan Damage,Unknown,American,Caucasian,"January 3, 1995",2022,94 kg,195 cm
Tyler Cruise,Unknown,American,Caucasian,"October 19, 2000",2021,69 kg,175 cm
Mannie Coco,Unknown,American,Black,1993,Unknown,92 kg,185 cm
Musa Phoenix,Unknown,American,Black,"March 2, 1985",Unknown,66 kg,172 cm
Jay Rock,"Jay, Jason",American,Caucasian,Unknown,2009,Unknown,Unknown
Matthew Meier,Mathew Mayers,Ukrainian,Caucasian,"November 29, 1998",2022,Unknown,Unknown
Mike Skywalker,Unknown,Unknown,Latin,"March 20, 1990",2023,86 kg,190 cm
Brad Newman,Unknown,Unknown,Unknown,"February 8, 1982",2018,92 kg,182 cm
Jovan Jordan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Solo The Bull,Unknown,Unknown,Black,Unknown,2022,Unknown,Unknown
Sam Shock,"Sam Perfect Body, Sam Strong",American,Caucasian,"November 26, 1987",2018,91 kg,187 cm
Van Wylde,Unknown,American,Caucasian,"March 15, 1990",2012,79 kg,180 cm
Manuel Ferrara,Unknown,French,Caucasian,"November 1, 1975",1997,84 kg,182 cm
Nikki Nuttz,"Nikky Nuttz, Josiah Reno (BelAmi), Josiah Reno, Nickki Nutz",Hungarian,Caucasian,"January 4, 1996",2017,Unknown,167 cm
Troy Francisco,Troy Frisco,Unknown,Black,"July 18, 1993",2019,79 kg,177 cm
Don Sudan,Unknown,American,Black,"October 26, 1975",2021,86 kg,185 cm
Dorian Del Isla,"Dorian De La Isla, Pascal, Dorial Del Isla",French,Caucasian,"June 27, 1979",Unknown,Unknown,177 cm
Mark Wood,Unknown,Unknown,Unknown,"June 6, 1968",Unknown,Unknown,Unknown
Luke Longly,Luke Longley,American,Unknown,"July 23, 1974",Unknown,Unknown,Unknown
Dante Colle,"Brother Calhoun, Ryder, Sam Jameson",American,Caucasian,"August 2, 1994",2013,83 kg,180 cm
Erik Everhard,"Eric Ray, Eric Everhart, Eril Everhard, Eric Steck, Eric Everhard",Canadian,Caucasian,"December 2, 1976",1998,88 kg,177 cm
David Lee,David Chan,"South Korean, American",Asian,"May 25, 1989",Unknown,63 kg,175 cm
Pavlos Hard,"Roy Gary, Jonas Miller, Hugo Antonin, Kane Mra'z, Raul Dolce, Adam Sin, Pavel Gaborik, Roy Garrett, Pavlos Hicklos, Florian Mraz, Florian Richter",Czech,Caucasian,"November 21, 1990",2014,73 kg,180 cm
Danny Mountain,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
James Angel,Unknown,American,Black,"February 3, 1995",2021,87 kg,185 cm
